Name,Link,Quantity,Total Price
Drone PCB + Drone Stencil + Controller PCB + Shipping,N/A,1,$30.00
NRF24L01 Breakout (SMD24L01) ,https://www.aliexpress.us/item/3256805889378019.html ,2,$2.01
ADS1115 ADC ,https://www.aliexpress.us/item/2251832125341942.html,1,$1.61
SMD Solder Paste ,https://www.aliexpress.us/item/3256807158914612.html ,1,$3.36
4 pin JST SH-1.0 Connector ,https://www.aliexpress.us/item/3256805841019654.html ,1,$1.78
2 pin JST MX-2.0 Connector ,https://www.aliexpress.us/item/3256806058517035.html ,1,$3.30
M2 Screws + Nuts ,https://www.aliexpress.us/item/3256804647352410.html ,6,$5.26
"Li-Po Battery (380mAh, 25C) ",https://www.amazon.com/URGENEX-380mAh-Battery-Charger-Controller/dp/B08DD5MTKM ,1,$13.99
YoungRC 8520 Coreless Motor ,https://www.amazon.com/YoungRC-8520-Coreless-Propeller-Quadcopter/dp/B0BV6P4XYX ,4,$11.99
FPV Camera + Transmitter ,https://www.amazon.com/Wolfwhoop-5-8GHz-Transmitter-Interface-Quadcopter/dp/B073J61SSQ ,1,$25.99
Estimated Amazon + Ali Tax,-,N/A,$8.19
3D Printed Frame +Case,N/A,1,$0.00
64 MB NOR Flash: W25Q64JVSSIQ,https://www.lcsc.com/product-detail/NOR-FLASH_Winbond-Elec-W25Q64JVSSIQ_C179171.html,1,$2.32
A03400A NMOS,https://lcsc.com/product-detail/MOSFETs_UMW-Youtai-Semiconductor-Co-Ltd-AO3400A_C347475.html,4,$0.62
BMI270 IMU,https://www.lcsc.com/product-detail/Accelerometers_Bosch-Sensortec-BMI270_C2836813.html,1,$0.46
STM32H750XBH6,https://www.lcsc.com/product-detail/Microcontrollers-MCU-MPU-SOC_STMicroelectronics-STM32H750XBH6_C405932.html,1,$6.40
"25 MHz Crystal (optional, but good)",https://lcsc.com/product-detail/Crystals_Shenzhen-SCTF-Elec-SX3B25-000F1010F30_C2901684.html,1,$0.39
TLV1117LV-3.3,https://www.lcsc.com/product-detail/Voltage-Regulators-Linear-Low-Drop-Out-LDO-Regulators_Texas-Instruments-TLV1117LV33DCYR_C15578.html,1,$1.02
FCM1608KF-601T05 Ferrite Beads,https://www.lcsc.com/product-detail/Ferrite-Beads_TAI-TECH-FCM1608KF-601T05_C133937.html,1,$0.18
100nF 16V 0805 Capacitor,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Venkel-C0805X7R160-104KNP_C3865954.html,22,$0.35
1uF 16V 0805 Capacitor,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B105KOFNNNE_C24123.html,2,$0.21
10uF 16V 0805 Capacitor,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KOQNNNE_C1713.html,3,$0.18
3.9pF 50V 0603 Capacitor,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Walsin-Tech-Corp-MT18N3R9C500CT_C908519.html,2,$0.05
4.7uF 25V 0805 Capacitor,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.html,1,$0.23
200nF 50V 0805 Capacitor,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_CCTC-TCC0805X7R204K500DT_C344170.html,2,$0.48
1N4148 Flyback,https://lcsc.com/product-detail/Switching-Diodes_MDD-Microdiode-Semiconductor-1N4148WS-E_C41371421.html,4,$0.06
100k 125mW 0805 Resistor,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J104-TS_C2907293.html,2,$0.13
10k 125mW 0805 Resistor,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J103TS_C2930231.html,17,$0.11
220 125mW 0805 Resistor,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J221-TS_C2933537.html,4,$0.13
1k 125mW 0805 Resistor,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0805J102-TS_C2907295.html,2,$0.13
SD Card Socket,https://lcsc.com/product-detail/SD-Card-Memory-Card-Connector_HOAUC-HYCW110-TF10-180B_C2962030.html,1,$0.54
SPST Push Button,https://lcsc.com/product-detail/Tactile-Switches_SHOU-HAN-TS342A2P-WZ_C557591.html,3,$0.37
0805 Green LED,https://lcsc.com/product-detail/LED-Indication-Discrete_Yongyu-Photoelectric-SZYY0805G1_C19712537.html,2,$0.27
WS2812B,https://lcsc.com/product-detail/RGB-LEDs-Built-in-IC_XINGLIGHT-XL-5050RGBC-WS2812B-S_C22461793.html,5,$0.53
BMP388 Barometer,https://lcsc.com/product-detail/Pressure-Sensors_Bosch-BMP388_C779278.html?s_z=n_BMP388,1,$1.25
SN74HC148 Priority Encoder,https://lcsc.com/product-detail/Signal-Switches-Multiplexers-Decoders_lingxingic-SN74HC148DR-LX_C41413103.html,1,$0.74
LCSC shipping,N/A,N/A,$9.30
1N5819 Schottky,N/A,2,$0.00
ESP32-C3 Super Mini,N/A,1,$0.00
Hall effect Joystick,N/A,2,$0.00
12mm Push Button,N/A,4,$0.00
Total,N/A,N/A,$133.93
