Designator,Mid X,Mid Y,Rotation,Layer
C1,147.8675,-57.54,180.0,bottom
C10,129.05,-59.4,0.0,top
C11,155.36,-48.12,0.0,top
C12,152.2,-63.95,270.0,top
C13,137.25,-63.84,90.0,top
C14,134.5,-51.5875,90.0,top
C15,149.65,-59.8,0.0,bottom
C16,155.64,-50.37,180.0,top
C17,149.31,-64.91,180.0,top
C2,144.03,-57.52,180.0,bottom
C22,131.7,-71.1,270.0,bottom
C23,134.86,-69.12,180.0,bottom
C29,142.81,-65.75,0.0,bottom
C3,133.95,-55.6,180.0,top
C30,140.03,-62.88,270.0,bottom
C31,136.2725,-46.32,180.0,top
C32,161.35,-53.02,0.0,top
C4,133.95,-57.6,180.0,top
C5,133.9,-59.65,0.0,top
C6,152.85,-59.15,270.0,bottom
C7,134.7,-62.75,90.0,top
C8,135.7625,-57.64,180.0,bottom
C9,128.8525,-52.72,0.0,top
D1,162.05,-72.1,270.0,top
D2,126.32,-73.0325,270.0,top
D3,129.41,-44.2725,270.0,top
D4,165.41,-45.49,90.0,top
D5,138.42,-66.83,0.0,top
D6,138.38,-68.75,0.0,top
D7,128.15,-64.65,90.0,top
D8,152.15,-68.72,180.0,top
FB1,141.14,-56.88,270.0,bottom
J2,144.64,-42.75,90.0,bottom
J3,128.79,-57.32,270.0,bottom
J4,144.99,-69.33,180.0,bottom
Q1,158.37,-73.7,180.0,top
Q2,131.7975,-72.37,90.0,top
Q3,127.35,-49.18,270.0,top
Q4,159.77,-43.55,270.0,top
R1,144.15,-59.52,180.0,bottom
R10,135.15,-48.27,270.0,bottom
R11,159.55,-47.23,180.0,bottom
R2,140.45,-59.53,180.0,bottom
R20,161.63,-60.95,180.0,top
R21,158.2,-63.42,180.0,top
R22,142.0,-65.1425,90.0,top
R23,161.31,-51.07,180.0,top
R24,159.39,-49.16,180.0,top
R25,141.79,-67.9,0.0,top
R3,130.33,-49.81,270.0,top
R4,157.47,-70.93,0.0,top
R5,134.49,-66.94,270.0,top
R6,154.62,-73.52,270.0,top
R7,132.55,-66.9,270.0,top
R8,132.48,-46.16,180.0,top
R9,159.25,-47.23,0.0,top
SW1,134.29,-65.11,90.0,bottom
SW2,135.93,-53.44,270.0,bottom
SW3,130.8,-65.1,90.0,bottom
U1,146.3,-52.75,180.0,bottom
U2,158.5375,-56.905,270.0,top
U3,144.634151,-54.719938,270.0,top
U4,133.9725,-71.41,270.0,bottom
U5,155.15,-73.8275,270.0,bottom
U7,143.34,-62.36,180.0,bottom
U8,159.5,-56.63,270.0,bottom
Y1,128.95,-56.05,0.0,top
